stream_index	reference	continuity_audit_source	recovery_profile	recovery_source	following_continuity_sequence
892	15:20	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
909	15:30	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
913	15:32	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
914	15:32	person_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
917	15:33	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
918	15:33	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
919	15:34	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
921	15:34	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
922	15:34	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
923	15:35	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
926	15:36	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
927	15:36	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
929	15:37	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
931	15:37	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
947	15:49	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
950	15:50	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
952	15:51	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
955	15:52	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
957	15:52	person_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
958	15:53	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
963	15:58	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
964	15:58	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
965	16:1	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
966	16:1	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
967	16:2	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
969	16:2	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
970	16:2	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
971	16:3	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
972	16:3	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
973	16:3	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
974	16:4	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
976	16:5	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
981	16:6	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
982	16:6	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
985	16:7	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
986	16:8	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
987	16:9	person_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
989	16:10	person_and_number_change	stabilized	same_majority	"[""shift"", ""same"", ""same""]"
990	16:10	person_and_number_change	stabilized	same_majority	"[""same"", ""same"", ""shift""]"
993	16:11	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
994	16:11	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
995	16:11	person_change	stabilized	same_majority	"[""same"", ""shift"", ""same""]"
997	16:12	person_change	stabilized	same_majority	"[""same"", ""same"", ""same""]"
1003	16:15	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
1004	16:15	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
1005	16:15	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
1007	16:16	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""same""]"
1008	16:17	person_and_number_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
1009	16:17	person_and_number_change	continued_instability	shift_majority	"[""same"", ""shift"", ""shift""]"
1011	16:18	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
1012	16:19	person_change	continued_instability	shift_majority	"[""shift"", ""shift"", ""shift""]"
1015	16:20	person_change	continued_instability	shift_majority	"[""shift"", ""same"", ""shift""]"
1016	16:22	person_and_number_change	mixed	mixed_following_behavior	"[""same"", ""shift""]"
1018	16:22	person_change	terminal	no_following_window	[]
